Trace,IPC,LLC Total MPKI,LLC Load MPKI,LLC Latency,L2C Total MPKI,L2C Load MPKI,L2C Latency,L1D Total MPKI,L1D Load MPKI,L1D Latency,L1I Total MPKI,L1I Load MPKI,L1I Latency,RQ Misses,WQ Full cycles
compute_fp_1.txt,0.297900,50.034650,40.927290,552.600000,53.892350,46.185930,531.300000,151.303840,146.105600,182.800000,0.016570,0.016570,159.300000,2763728,1237003
compute_fp_10.txt,0.331100,43.260610,6.898090,803.700000,34.014200,6.899760,1040.000000,93.043640,52.945290,365.900000,0.000280,0.000280,331.000000,2162245,2084015
compute_fp_11.txt,1.670000,7.389740,3.097380,192.700000,6.444420,3.112360,241.000000,118.569980,41.665180,5.522000,0.000920,0.000920,201.100000,293354,243511
compute_fp_12.txt,2.750000,1.523360,1.438710,156.900000,2.162180,2.132540,130.900000,4.195610,4.181780,66.220000,0.000960,0.000960,55.790000,28136,6746
compute_fp_13.txt,3.145000,1.193410,1.127380,145.400000,1.884270,1.867960,112.600000,4.962800,4.940140,45.510000,0.001290,0.001290,34.210000,23589,5426
compute_fp_2.txt,3.419000,0.148670,0.136190,112.000000,4.553610,4.076460,23.360000,73.556690,57.848040,1.035000,0.079380,0.079380,27.220000,7405,740
compute_fp_3.txt,2.674000,31.488250,31.484360,76.070000,31.488390,31.484410,97.070000,76.602740,76.282600,42.100000,0.000000,0.000000,,25425,0
compute_fp_4.txt,1.614000,0.000190,0.000170,149.300000,0.002700,0.002570,30.350000,9.628780,8.017050,5.068000,2.239990,2.239990,5.820000,16,0
compute_fp_5.txt,0.560800,36.125460,25.931990,423.700000,34.024500,27.066730,470.200000,151.126460,112.827100,96.570000,0.000300,0.000300,157.700000,1801687,577081
compute_fp_6.txt,1.245000,9.840630,9.738410,168.800000,12.351730,11.704720,155.000000,122.368590,121.240660,11.080000,0.053930,0.053930,96.200000,237819,746
compute_fp_7.txt,0.298200,42.952460,25.347660,395.000000,54.722110,38.315210,328.600000,153.494950,107.060840,113.500000,0.040750,0.040750,219.400000,2565092,1165289
compute_fp_8.txt,0.331700,43.205220,6.894520,803.700000,34.146650,6.896350,1035.000000,92.983090,52.922650,365.500000,0.000560,0.000560,410.600000,2147361,2083514
compute_fp_9.txt,3.877000,0.002190,0.002170,157.600000,0.002940,0.002840,138.000000,47.971090,47.879210,0.295100,0.000550,0.000550,8.691000,204,0
compute_int_0.txt,3.748000,0.000160,0.000080,223.200000,2.702030,0.131910,19.240000,19.606420,1.069140,1.553000,0.000530,0.000530,25.250000,14,0
compute_int_1.txt,0.573500,6.191760,5.994050,156.500000,7.376300,7.024060,152.100000,16.432600,15.721270,72.290000,0.004390,0.004390,124.400000,474425,2585
compute_int_10.txt,2.533000,0.405700,0.203950,157.400000,2.278970,1.255950,47.470000,14.860490,10.984240,9.968000,0.494320,0.494320,21.920000,19573,11176
compute_int_11.txt,1.854000,0.649390,0.636840,90.060000,1.493180,1.387480,59.510000,16.605780,10.809900,6.239000,0.175560,0.175560,11.750000,4539,42
compute_int_12.txt,1.222000,0.892190,0.754470,146.600000,2.679590,2.213320,68.270000,11.772700,9.790000,19.700000,8.251680,8.251680,9.832000,63715,2666
compute_int_13.txt,1.219000,7.386010,4.892020,234.300000,29.410580,11.985890,73.710000,68.825980,40.160360,37.490000,0.000000,0.000000,,499347,115912
compute_int_14.txt,1.079000,9.517140,9.246910,734.200000,19.391040,18.902690,380.800000,27.262980,25.862360,275.300000,0.134940,0.134940,48.170000,320951,6056
compute_int_15.txt,3.170000,0.028300,0.026160,128.100000,0.251770,0.247940,34.460000,1.384210,1.342650,8.950000,0.008490,0.008490,70.370000,1163,0
compute_int_16.txt,1.900000,3.157830,2.084730,182.100000,8.288170,7.276310,88.790000,36.078820,30.726720,21.400000,0.008350,0.008350,168.700000,207774,135766
compute_int_17.txt,3.397000,0.008470,0.008310,107.800000,0.079380,0.078470,31.510000,4.923590,4.740170,5.062000,0.000830,0.000830,5.482000,349,0
compute_int_18.txt,1.277000,0.039940,0.020790,159.100000,1.857390,1.431130,22.900000,11.425420,9.482500,7.732000,8.292620,8.292620,8.490000,1170,236
compute_int_19.txt,1.865000,2.006300,0.912330,128.600000,4.313710,2.502740,77.550000,37.493110,23.656120,6.288000,0.001650,0.001650,148.300000,116305,103707
compute_int_2.txt,0.132700,66.625300,51.307650,290.500000,86.319050,70.645150,243.500000,136.381350,123.164770,162.300000,0.000300,0.000300,130.500000,5723071,976636
compute_int_21.txt,0.711100,15.511110,6.397700,239.700000,12.552110,7.376130,314.600000,32.381570,25.720110,113.400000,0.020400,0.020400,227.900000,819657,782373
compute_int_22.txt,1.489000,0.397140,0.219080,118.700000,2.203780,1.472510,39.760000,8.946740,7.926980,12.460000,0.000000,0.000000,,22590,13596
compute_int_23.txt,0.344400,26.919870,19.005170,165.800000,24.900950,20.298960,197.600000,36.021710,33.894330,141.200000,0.000000,0.000000,,1675029,899635
compute_int_24.txt,2.395000,2.047230,0.242850,208.800000,3.554630,1.627700,140.200000,107.105990,101.020340,6.905000,0.732700,0.732700,15.870000,59336,109931
compute_int_25.txt,3.377000,0.183840,0.046460,145.700000,1.075450,0.250740,44.440000,88.382350,84.491580,1.608000,0.255670,0.255670,11.240000,8432,8081
compute_int_26.txt,0.797100,0.148680,0.095660,156.600000,1.483910,1.136120,34.880000,20.247130,18.414970,9.273000,22.240750,22.240750,8.314000,12303,103
compute_int_27.txt,0.622000,32.229620,25.743590,228.400000,30.319860,26.080640,261.900000,43.007990,40.496830,182.100000,0.001030,0.001030,220.500000,1168833,684626
compute_int_28.txt,1.101000,0.003540,0.002140,126.300000,8.812510,8.763540,20.000000,51.924860,51.642030,8.710000,0.002170,0.002170,22.360000,70,0
compute_int_29.txt,2.491000,0.137380,0.118500,141.400000,0.906990,0.803310,41.040000,1.958670,1.708450,21.110000,1.952600,1.952600,10.900000,9601,64
compute_int_3.txt,1.597000,0.588140,0.447770,138.500000,2.334640,1.863490,54.280000,9.071670,5.849580,18.710000,0.216660,0.216660,24.340000,43059,2876
compute_int_31.txt,0.779300,9.483700,5.428710,226.500000,17.778070,14.086780,140.100000,45.462120,38.481790,58.420000,0.059270,0.059270,174.400000,604229,265840
compute_int_32.txt,0.665000,10.948970,8.244990,266.300000,12.818430,10.815170,247.200000,34.930630,30.788890,92.820000,19.975480,19.975480,9.212000,772743,185191
compute_int_33.txt,2.326000,0.006420,0.001900,161.800000,0.022380,0.012210,66.130000,0.663390,0.351390,7.167000,4.904430,4.904430,5.420000,277,0
compute_int_34.txt,0.371600,58.552920,47.843370,330.200000,60.477130,53.403440,340.000000,80.465700,63.938070,257.900000,0.001630,0.001630,162.900000,2395428,638878
compute_int_35.txt,2.937000,0.018340,0.015950,160.400000,0.170460,0.156670,37.130000,2.813070,2.284110,4.788000,3.643930,3.643930,5.726000,1189,0
compute_int_36.txt,1.979000,0.008110,0.007200,106.600000,0.166660,0.142690,24.930000,1.291000,0.695290,6.590000,1.124960,1.124960,6.712000,331,0
compute_int_37.txt,0.194700,128.556620,92.157160,439.100000,127.788690,95.988580,461.600000,157.734660,126.965640,380.000000,0.006420,0.006420,143.700000,4972707,2038375
compute_int_38.txt,0.475300,17.654170,9.254570,166.200000,19.283230,11.785780,171.300000,40.231450,27.769850,86.980000,0.814050,0.814050,18.540000,1338628,428948
compute_int_39.txt,0.520800,32.642200,0.467250,639.400000,19.072400,0.509600,1114.000000,19.936200,1.857520,1076.000000,4.534380,4.534380,10.350000,1210729,1658849
compute_int_4.txt,3.463000,0.005260,0.005210,90.250000,0.025600,0.025240,38.640000,4.407680,4.221010,4.567000,0.000490,0.000490,10.780000,126,0
compute_int_40.txt,1.642000,0.115740,0.042750,138.600000,1.000460,0.520820,35.030000,3.395980,2.334000,15.250000,7.148800,7.148800,5.407000,8937,370
compute_int_41.txt,1.402000,0.001250,0.001220,155.100000,0.006690,0.006470,48.920000,5.035640,4.432620,4.291000,0.016640,0.016640,8.273000,110,0
compute_int_42.txt,1.978000,0.000660,0.000660,74.790000,0.000660,0.000660,95.790000,0.541730,0.491920,7.173000,6.632770,6.632770,7.506000,8,0
compute_int_43.txt,1.392000,0.000820,0.000790,152.300000,0.005040,0.005000,44.940000,5.295440,4.451360,3.907000,0.020840,0.020840,6.631000,72,0
compute_int_44.txt,1.363000,1.705090,0.989150,142.700000,3.465300,2.430090,88.590000,10.524830,7.894180,33.090000,0.058080,0.058080,153.600000,113708,58247
compute_int_45.txt,0.115500,236.853670,83.318560,558.400000,172.079210,83.318560,788.900000,432.906120,103.212940,307.100000,0.000000,0.000000,,6667339,8177950
compute_int_46.txt,1.025000,4.577460,2.013940,157.300000,6.139600,3.411620,136.100000,11.437190,7.948770,79.850000,0.031140,0.031140,120.800000,348557,73929
compute_int_5.txt,1.502000,3.431130,0.811880,462.800000,8.011270,3.613490,216.900000,26.542150,13.364630,66.110000,0.000570,0.000570,161.800000,220680,182184
compute_int_6.txt,1.274000,0.013760,0.010630,166.100000,2.263660,1.422520,20.440000,15.990880,8.026660,6.368000,5.812090,5.812090,7.946000,1113,291
compute_int_7.txt,0.798800,28.922100,27.758940,234.400000,44.450710,43.870280,172.900000,49.553480,49.385940,164.600000,0.000000,0.000000,,655923,102987
compute_int_8.txt,2.747000,3.883110,0.068150,662.500000,3.175690,0.201340,830.600000,109.793900,3.707780,18.090000,0.000000,0.000000,,103416,195505
compute_int_9.txt,1.263000,0.060110,0.038020,133.600000,1.914630,1.355290,23.680000,11.561150,5.891950,7.735000,5.054040,5.054040,7.870000,4099,1132
srv_0.txt,0.702100,2.411800,1.451010,140.000000,19.442360,15.774640,36.540000,22.934660,15.563720,25.340000,37.289780,37.289780,14.700000,180977,83674
srv_1.txt,0.814300,1.786590,1.087680,155.400000,17.189860,14.456510,35.500000,45.370600,40.133770,18.190000,24.600670,24.600670,15.350000,131792,47860
srv_10.txt,0.724800,2.179930,1.304780,138.700000,19.028790,15.211250,35.010000,23.467400,15.714800,23.680000,36.214140,36.214140,14.410000,161828,82380
