Trace,LRU IPC,LLC Total MPKI,LLC Load MPKI,LLC Latency,L2C Total MPKI,L2C Load MPKI,L2C Latency,L1D Total MPKI,L1D Load MPKI,L1D Latency,L1I Total MPKI,L1I Load MPKI,L1I Latency,RQ Misses,WQ Full cycles
compute_fp_10.txt,1.404000,3.788250,2.359340,1135.000000,9.613440,6.218440,467.700000,51.198420,30.434600,78.310000,0.257590,0.257590,142.700000,265022.000000,265966.000000
compute_fp_103.txt,0.243400,36.452150,34.735880,1290.000000,36.980110,35.133390,1293.000000,119.190980,90.652070,254.200000,0.221050,0.221050,130.700000,1835274.000000,1982899.000000
compute_fp_109.txt,2.619000,0.388470,0.198560,461.500000,0.578780,0.289380,330.500000,2.678980,1.674250,70.690000,1.069400,1.069400,17.770000,21887.000000,18835.000000
compute_fp_11.txt,2.570000,0.494670,0.266040,542.400000,0.660570,0.343000,426.900000,1.866670,0.814060,145.400000,0.377030,0.377030,43.540000,29419.000000,25890.000000
compute_fp_112.txt,0.245300,61.955500,53.561140,919.500000,62.076310,53.604470,938.700000,146.026640,116.188040,371.700000,0.212290,0.212290,106.100000,3401273.000000,1432270.000000
compute_fp_13.txt,2.892000,0.590280,0.381740,351.700000,0.759780,0.470730,294.100000,6.870850,5.804520,33.630000,0.215450,0.215450,62.990000,34198.000000,24447.000000
compute_fp_138.txt,2.030000,0.397440,0.199280,504.900000,0.578030,0.286370,367.900000,1.854880,0.709630,110.500000,0.410230,0.410230,39.570000,23204.000000,20538.000000
compute_fp_2.txt,2.955000,1.243730,0.911350,298.900000,1.712430,1.296380,237.900000,33.606250,31.419080,11.200000,0.218630,0.218630,78.850000,50644.000000,38181.000000
compute_fp_24.txt,1.883000,6.795460,4.428180,327.600000,7.420160,4.955150,320.900000,76.534450,43.786770,39.440000,0.204400,0.204400,97.300000,614926.000000,225225.000000
compute_fp_3.txt,2.658000,4.163970,3.550050,151.600000,6.095020,5.381260,124.200000,43.569990,36.453410,21.780000,0.227200,0.227200,96.060000,146959.000000,77829.000000
compute_fp_37.txt,0.332600,43.517650,43.505630,833.000000,43.517740,43.505650,854.000000,104.407120,104.389900,349.500000,0.011140,0.011140,243.300000,2794835.000000,2521330.000000
compute_fp_42.txt,2.637000,0.469210,0.228970,567.200000,0.593020,0.301480,469.600000,2.203530,1.095800,123.200000,0.327600,0.327600,44.540000,25377.000000,21555.000000
compute_fp_43.txt,2.542000,0.699210,0.474470,411.000000,0.891640,0.591010,343.200000,9.587920,4.984610,30.680000,0.261750,0.261750,59.740000,43826.000000,32109.000000
compute_fp_57.txt,1.389000,7.281570,5.623100,423.600000,8.494090,6.684710,384.000000,65.160610,50.839240,53.480000,0.225580,0.225580,119.300000,510923.000000,328337.000000
compute_fp_60.txt,1.169000,8.954210,8.948200,294.400000,8.954290,8.948200,315.400000,72.003950,71.993180,29.510000,0.002790,0.002790,234.100000,875353.000000,674362.000000
compute_fp_64.txt,1.645000,2.839210,1.116010,932.700000,3.613140,1.291990,753.700000,20.477860,8.962310,125.500000,0.466320,0.466320,49.650000,125513.000000,149954.000000
compute_fp_94.txt,0.598500,23.217680,21.283280,371.100000,24.457750,22.231520,373.200000,101.627500,95.807760,67.640000,0.267560,0.267560,102.500000,937317.000000,197434.000000
compute_int_10.txt,1.888000,0.198390,0.142960,798.300000,0.471840,0.369260,356.100000,27.579270,25.561190,14.320000,0.044440,0.044440,19.160000,11137.000000,13637.000000
compute_int_106.txt,1.246000,4.018360,2.512720,416.600000,6.142300,4.365060,293.200000,20.281450,12.206880,86.490000,0.473570,0.473570,98.550000,158241.000000,133565.000000
compute_int_112.txt,1.595000,3.123220,0.952640,330.100000,3.520020,1.345540,313.800000,51.371580,4.864800,17.180000,0.007450,0.007450,96.380000,200741.000000,150765.000000
compute_int_114.txt,1.469000,1.821960,1.152220,186.400000,1.960490,1.228230,194.100000,20.023480,12.464510,19.170000,0.171140,0.171140,84.930000,84497.000000,67742.000000
compute_int_12.txt,0.204400,72.212550,70.945510,584.700000,75.605560,73.676490,579.400000,152.836030,112.189750,292.100000,0.020720,0.020720,122.500000,7023657.000000,8732.000000
compute_int_13.txt,1.161000,1.560410,1.314900,185.100000,3.563990,3.025540,101.400000,9.749740,7.582680,43.180000,0.034490,0.034490,190.700000,151187.000000,89968.000000
compute_int_133.txt,1.981000,0.154660,0.138240,815.200000,0.331250,0.260850,401.100000,16.753150,15.058320,14.480000,0.035340,0.035340,27.160000,9032.000000,10553.000000
compute_int_135.txt,2.140000,1.759140,0.201090,150.700000,3.575050,1.873710,94.640000,98.503700,55.180970,5.919000,1.459840,1.459840,14.620000,117855.000000,124139.000000
compute_int_139.txt,1.211000,0.522650,0.375900,339.500000,1.791110,1.246470,119.400000,12.636900,5.222710,18.740000,8.358240,8.358240,8.775000,41682.000000,27685.000000
compute_int_142.txt,1.625000,4.509790,1.387220,357.400000,5.081340,1.954870,338.100000,57.022420,6.256020,23.510000,0.006180,0.006180,212.000000,331935.000000,164190.000000
compute_int_154.txt,1.492000,1.744940,1.094280,192.300000,1.889770,1.167780,198.500000,19.657770,11.919400,19.230000,0.173550,0.173550,83.600000,78270.000000,61605.000000
compute_int_168.txt,1.763000,2.001750,1.203480,415.600000,3.537390,2.417800,255.800000,29.593370,18.149020,34.790000,0.181440,0.181440,84.990000,83880.000000,71860.000000
compute_int_17.txt,0.918600,4.131200,3.095470,256.500000,9.003440,7.534510,138.200000,23.572130,18.204000,51.670000,25.781720,25.781720,11.470000,297394.000000,156823.000000
compute_int_173.txt,0.686300,0.194280,0.141190,250.500000,46.778720,21.283680,21.410000,59.448090,28.933160,30.900000,0.153440,0.153440,52.840000,13726.000000,4772.000000
compute_int_206.txt,1.533000,0.000000,0.000000,,1.671500,0.709400,19.960000,21.201280,13.872100,1.253000,0.029550,0.029550,22.590000,0.000000,0.000000
compute_int_208.txt,1.635000,1.844830,1.181190,371.300000,3.055360,2.282400,244.800000,20.314770,12.303360,38.060000,0.174130,0.174130,81.940000,73982.000000,61292.000000
compute_int_209.txt,0.985600,4.212530,0.352430,886.200000,4.555180,0.602220,840.400000,15.455550,2.512750,249.800000,5.740030,5.740030,10.790000,312646.000000,286121.000000
compute_int_210.txt,1.593000,2.001130,1.424010,400.900000,5.998180,4.535100,154.100000,28.490700,25.472450,34.200000,0.158590,0.158590,108.600000,127041.000000,70285.000000
compute_int_227.txt,0.989500,4.599920,1.436800,184.500000,4.608110,1.442030,205.100000,50.658520,7.587070,11.830000,0.024660,0.024660,208.300000,324175.000000,204118.000000
compute_int_230.txt,1.526000,1.126370,0.702490,397.100000,6.414020,4.086080,89.990000,31.188440,26.326490,22.950000,0.152670,0.152670,89.950000,92477.000000,57791.000000
compute_int_239.txt,1.627000,2.009060,1.030100,369.600000,3.104080,1.844460,259.900000,27.093090,15.615020,25.860000,0.032240,0.032240,103.400000,163103.000000,110575.000000
compute_int_244.txt,1.372000,4.545550,1.442530,215.200000,4.553620,1.447280,235.800000,51.661990,8.798240,13.310000,0.005220,0.005220,184.800000,367594.000000,163832.000000
compute_int_247.txt,1.638000,1.690740,0.894650,359.700000,3.140260,2.128670,214.200000,27.274470,17.287420,22.090000,0.031850,0.031850,92.870000,142835.000000,99178.000000
compute_int_255.txt,1.561000,2.427090,1.608020,453.500000,9.614190,6.973150,134.800000,39.869460,34.738910,35.800000,0.165860,0.165860,109.400000,184873.000000,106177.000000
compute_int_273.txt,0.392300,15.312120,8.883390,220.500000,16.837390,9.953040,221.500000,24.136090,15.300160,162.400000,0.028780,0.028780,159.700000,1485530.000000,469752.000000
compute_int_275.txt,1.027000,4.199750,2.668420,242.500000,4.564620,2.800730,244.000000,16.153720,8.423870,63.390000,0.467320,0.467320,92.910000,200445.000000,142517.000000
compute_int_280.txt,0.379200,29.839580,26.552810,374.100000,39.091080,35.664140,306.300000,51.820220,43.003400,235.200000,0.011010,0.011010,199.800000,2149509.000000,1000174.000000
compute_int_284.txt,1.548000,0.000000,0.000000,,2.445200,1.377820,20.010000,31.236500,21.612610,1.232000,0.055160,0.055160,19.400000,0.000000,0.000000
compute_int_286.txt,1.650000,0.525980,0.320410,129.500000,0.606660,0.373460,133.100000,2.138500,1.244630,42.240000,1.888670,1.888670,6.492000,33971.000000,12863.000000
compute_int_293.txt,1.440000,3.418900,2.164910,415.200000,5.637650,4.131070,272.400000,37.729390,20.314220,39.590000,0.042110,0.042110,134.600000,284024.000000,138423.000000
compute_int_296.txt,1.542000,1.872640,0.535060,164.500000,1.899730,0.557870,183.100000,24.928310,9.335000,12.860000,0.011780,0.011780,31.900000,133515.000000,107606.000000
compute_int_298.txt,1.036000,2.443920,1.447390,249.300000,5.703360,4.193520,127.200000,18.506420,11.623070,33.800000,19.004020,19.004020,15.570000,182038.000000,116049.000000
compute_int_309.txt,2.901000,0.155160,0.119450,191.800000,0.349030,0.302690,105.600000,3.601320,2.937840,10.430000,3.063090,3.063090,5.503000,9861.000000,85.000000
compute_int_316.txt,1.394000,0.951170,0.313330,240.500000,3.860250,2.489180,79.480000,12.134530,4.225940,23.890000,11.871660,11.871660,10.730000,54840.000000,52288.000000
compute_int_321.txt,1.472000,0.008740,0.008270,158.100000,0.023000,0.021650,80.480000,5.475580,4.397690,4.713000,0.025080,0.025080,8.381000,817.000000,0.000000
compute_int_351.txt,1.534000,0.000000,0.000000,,2.333040,1.246140,19.990000,30.140970,20.500640,1.112000,0.047400,0.047400,21.190000,0.000000,0.000000
compute_int_354.txt,,,,,,,,,,,,,,,
compute_int_36.txt,1.908000,1.585870,0.786090,415.400000,3.410790,2.220060,213.600000,25.280760,16.669250,27.140000,0.164480,0.164480,77.490000,115509.000000,89284.000000
compute_int_377.txt,1.012000,4.042490,2.779320,190.400000,6.960100,5.366870,131.200000,25.093360,16.877040,34.100000,7.179620,7.179620,26.480000,297371.000000,105120.000000
compute_int_380.txt,1.441000,1.565320,0.944620,316.200000,3.636340,2.676400,156.500000,16.444510,12.598290,35.200000,5.792420,5.792420,15.090000,120212.000000,93890.000000
compute_int_397.txt,1.523000,1.558030,1.311520,284.400000,3.199650,2.920210,159.000000,5.341630,4.673960,94.160000,0.155030,0.155030,65.280000,125763.000000,63572.000000
compute_int_401.txt,1.782000,2.018180,1.237830,409.200000,3.616790,2.451370,248.900000,29.807300,17.907240,34.540000,0.185230,0.185230,80.120000,82261.000000,71656.000000
compute_int_402.txt,1.032000,4.180450,2.644070,248.200000,4.557170,2.791560,248.500000,16.370680,8.597440,63.620000,0.473750,0.473750,99.080000,201998.000000,143822.000000
compute_int_403.txt,2.194000,1.093220,0.611500,336.900000,2.252960,1.384020,184.000000,15.687120,12.747740,23.610000,0.590630,0.590630,46.940000,68598.000000,53007.000000
compute_int_409.txt,1.250000,4.127960,2.636810,408.400000,6.237130,4.477880,290.900000,21.370840,13.143600,82.890000,0.461800,0.461800,95.410000,159679.000000,132638.000000
compute_int_411.txt,3.097000,0.144040,0.127790,224.800000,0.287780,0.260610,132.900000,3.673640,3.117630,11.260000,3.531450,3.531450,5.309000,11716.000000,32.000000
compute_int_415.txt,0.173800,34.484180,24.781880,180.900000,36.016230,25.861870,194.200000,46.227070,32.100980,160.700000,0.001520,0.001520,134.100000,3408446.000000,82.000000
