Trace,IPC,LLC Total MPKI,LLC Load MPKI,LLC Latency,L2C Total MPKI,L2C Load MPKI,L2C Latency,L1D Total MPKI,L1D Load MPKI,L1D Latency,L1I Total MPKI,L1I Load MPKI,L1I Latency,RQ Misses,WQ Full cycles
compute_fp_10.txt,1.498000,4.821170,2.107400,694.100000,10.359190,6.081180,342.800000,53.321620,29.925020,60.370000,0.271900,0.271900,131.500000,249765.000000,227723.000000
compute_fp_103.txt,0.230500,54.973330,36.651490,934.500000,43.113940,38.314480,1211.000000,133.664070,99.803040,249.900000,0.227630,0.227630,138.700000,2045960.000000,2147134.000000
compute_fp_109.txt,2.690000,0.227900,0.156440,190.900000,0.654040,0.329830,85.930000,2.785160,1.824550,21.610000,2.098900,2.098900,10.010000,10373.000000,3299.000000
compute_fp_11.txt,2.673000,0.339150,0.206050,243.800000,0.753880,0.384400,129.000000,1.976830,0.905710,47.430000,0.504220,0.504220,29.000000,14109.000000,7276.000000
compute_fp_112.txt,0.226500,75.962620,52.488540,814.600000,65.393400,53.601090,966.200000,152.418030,117.080320,387.900000,0.218150,0.218150,128.000000,3220910.000000,1979192.000000
compute_fp_13.txt,3.028000,0.443920,0.342290,172.100000,0.850100,0.525160,109.600000,7.164650,6.248880,15.010000,0.218340,0.218340,53.530000,20522.000000,5593.000000
compute_fp_138.txt,2.073000,0.243650,0.158940,194.100000,0.643080,0.316490,92.810000,2.568780,1.505780,23.680000,1.530560,1.530560,12.670000,10078.000000,3875.000000
compute_fp_2.txt,3.020000,1.357170,0.941200,226.100000,1.848610,1.352790,185.800000,33.928280,31.727510,9.607000,0.223690,0.223690,69.600000,53437.000000,26693.000000
compute_fp_24.txt,1.841000,8.995990,4.851200,279.200000,7.704410,5.129570,346.800000,56.363310,36.222460,56.580000,0.210880,0.210880,114.500000,662899.000000,231336.000000
compute_fp_3.txt,2.133000,6.419460,4.984570,214.000000,6.551250,5.719530,230.100000,30.154880,26.785880,50.760000,0.231080,0.231080,103.500000,305409.000000,106601.000000
compute_fp_37.txt,0.252200,73.734650,43.438700,656.900000,49.977620,43.510210,987.500000,105.561000,105.533560,458.200000,0.012030,0.012030,245.500000,2526323.000000,4273854.000000
compute_fp_42.txt,2.745000,0.300250,0.194970,228.400000,0.646820,0.325830,125.500000,2.153060,1.088190,37.460000,0.413250,0.413250,30.170000,10146.000000,4679.000000
